source,user1,user2
Null,63706724,570271
album,439135852,136853486
artist,49436704,53492416
playlist,74782426,303507790
playlist-owned-by-other-non-collabrative,197225820,49516350
playlist-owned-by-self-non-collabrative,75590230,8172586
radio,94550618,23480234
browse,21877431,39439
search,4264810,5467217
chart,0,666026
collection,7419042,4485402
collection-album,8057382,436245
collection-artist,1058479,2720614
com.spotify.gaia,4145197,11244310
folder,0,6324552
library-collection,0,262991
