milliseconds_played,timestamp,track_name,album_name,artist_name,popularity_normalized
139,1435712778,Colonel Hathi's March (The Elephant Song),The Jungle Book,J. Pat O'Malley,0.4817632045
222128,1435713001,Trap Queen,Trap Queen,Fetty Wap,0.8169168461
128174,1435763381,Do You,They Want My Soul,Spoon,0.6294400732
257853,1435763718,H.S.K.T.,Sylvan Esso,Sylvan Esso,0.6210617904
245293,1435763964,The Wire,Days Are Gone,HAIM,0.6753864446
23637,1435763988,You Go Down Smooth,Bad Self Portraits,Lake Street Dive,0.58828509
168066,1435764156,Ruby Blue,Ruby Blue,Róisín Murphy,0.4946611573
166480,1435764322,Violent Shiver,Violent Shiver,Benjamin Booker,0.5429115899
212693,1435764536,Sissy That Walk,Born Naked,RuPaul,0.6355273706
184320,1435764720,You Make My Dreams,[500] Days Of Summer - Music From The Motion Picture,Daryl Hall & John Oates,0.6326665995
204279,1435764925,Riptide,Dream Your Life Away,Vance Joy,0.7586548531
214160,1435765140,Waves,Waves,Sleeper Agent,0.5284075805
19179,1435765159,Elephant,Lonerism,Tame Impala,0.657039489
192786,1435765351,Be Brave,About Last Night,Sleeper Agent,0.4381383455
215213,1435765566,Waves,About Last Night,Sleeper Agent,0.5045595531
25774,1435765592,Take It Off,About Last Night,Sleeper Agent,0.4032460542
169253,1435765761,Happy With Me,MINDSPEAK,HOLYCHILD,0.5750344671
68127,1435765829,Hideaway,Hideaway,Kiesza,0.6499426839
185740,1435766014,Cherry Lips,Thirty Three,Loon Lake,0.5643250219
183693,1435766199,Black Sheep,Gravel & Wine,Gin Wigmore,0.5555135374
233133,1435766432,The Walker,More Than Just A Dream,Fitz and The Tantrums,0.6950536635
4179,1435766440,Hurricane Season,Backatown,Trombone Shorty,0.5417470286
184586,1435788945,a beautiful exit,Wildheart (Deluxe Version),Miguel,0.6172461038
257960,1435789203,DEAL,Wildheart (Deluxe Version),Miguel,0.6049089726
1020,1435798897,Trap Queen (feat. Quavo & Gucci Mane),Trap Queen (feat. Quavo & Gucci Mane),Fetty Wap,0.7257264615
220171,1435799116,Trap Queen,Trap Queen,Fetty Wap,0.8169168461
22244,1435799138,Nuclear Seasons,True Romance,Charli XCX,0.5155738098
18483,1435799156,the valley,Wildheart (Deluxe Version),Miguel,0.6321555351
1857,1435799157,DEAL,Wildheart (Deluxe Version),Miguel,0.6049089726
185746,1435799342,the valley,Wildheart (Deluxe Version),Miguel,0.6321555351
119025,1435799490,coffee,Wildheart (Deluxe Version),Miguel,0.6680825526
214160,1435799704,Waves,Waves,Sleeper Agent,0.5284075805
5015,1435799709,Elephant,Lonerism,Tame Impala,0.657039489
7894,1435799716,Uptight Downtown,Uptight Downtown,La Roux,0.3966444761
149675,1435800033,Water Fountain,nikki nack,tUnE-yArDs,0.6102013185
1021,1435855722,the valley,Wildheart (Deluxe Version),Miguel,0.6321555351
15890,1435855737,Magic,Lost in the Girl,Kwamie Liv,0.4658204748
16029,1435855752,For You,For You,Fyfe,0.5776397195
117440,1435855869,The Beginning,Histrionic,Maria Minerva,0.2944187602
295882,1435856164,Flickers,We Are Rising,Son Lux,0.3281731045
231999,1435856396,All The Right Things,We Are Rising,Son Lux,0.2495441906
243809,1435856640,Rising,We Are Rising,Son Lux,0.2052215296
118653,1435856757,Lay Your Love Down - Single Version,Lay Your Love Down,Wolf Gang,0.5694415505
182518,1435856940,Cardiac Arrest,Transpose EP,Bad Suns,0.5692933175
19094,1435856959,Chocolate,The 1975,The 1975,0.7137215549
23920,1435856982,Hold Me Down,Hold Me Down,Halsey,0.6125050652
212324,1435857194,Go Slow,Verde,Tei Shi,0.6078420711
190171,1435857387,Cadillac Girl,Cadillac Girl,Only Real,0.561563799
1020,1435878151,Fuck Love,The New Classic,Iggy Azalea,0.5490388552
152053,1435878427,Colonel Hathi's March (The Elephant Song),The Jungle Book,J. Pat O'Malley,0.4817632045
291466,1435878719,The Bare Necessities - Soundtrack,The Jungle Book,Phil Harris,0.5291805626
279453,1435878999,I Wan'na Be Like You (The Monkey Song),The Jungle Book,Louis Prima,0.5373930979
170480,1435879170,Trust In Me (The Python's Song),The Jungle Book,Sterling Holloway,0.4366951512
3111,1435879657,Colonel Hathi's March (The Elephant Song),The Jungle Book,J. Pat O'Malley,0.4817632045
291466,1435879948,The Bare Necessities - Soundtrack,The Jungle Book,Phil Harris,0.5291805626
279453,1435880227,I Wan'na Be Like You (The Monkey Song),The Jungle Book,Louis Prima,0.5373930979
170480,1435880398,Trust In Me (The Python's Song),The Jungle Book,Sterling Holloway,0.4366951512
88514,1435938445,Skeleton Key,Skeleton Key,Kenzie May,0.5893956036
150560,1435938596,Bridge,"A Music Compilation by Connor Franta, Vol. I",High Highs,0.6228396141
111125,1435938711,Stay With Me,In The Lonely Hour,Sam Smith,0.7812116158
0,1435938711,Steady,If I Was,The Staves,0.5950300309
88467,1435938888,Stay With Me,In The Lonely Hour,Sam Smith,0.7812116158
208893,1435939096,Steady,If I Was,The Staves,0.5950300309
241320,1435939338,Worry,Remnants,Jack Garratt,0.6593263008
49251,1435944687,Tide Teeth,Tide Teeth,Night Beds,0.6104826551
256483,1435944953,Vegas,Ratchet,Shamir,0.5107281857
71403,1435964393,Make A Scene,Ratchet,Shamir,0.4744518985
152053,1435964544,Colonel Hathi's March (The Elephant Song),The Jungle Book,J. Pat O'Malley,0.4817632045
291466,1435964835,The Bare Necessities - Soundtrack,The Jungle Book,Phil Harris,0.5291805626
279453,1435965115,I Wan'na Be Like You (The Monkey Song),The Jungle Book,Louis Prima,0.5373930979
170480,1435965287,Trust In Me (The Python's Song),The Jungle Book,Sterling Holloway,0.4366951512
1021,1436042344,Colonel Hathi's March (The Elephant Song),The Jungle Book,J. Pat O'Malley,0.4817632045
152053,1436042489,Colonel Hathi's March (The Elephant Song),The Jungle Book,J. Pat O'Malley,0.4817632045
291466,1436042780,The Bare Necessities - Soundtrack,The Jungle Book,Phil Harris,0.5291805626
41795,1436055721,I Wan'na Be Like You (The Monkey Song),The Jungle Book,Louis Prima,0.5373930979
152053,1436055876,Colonel Hathi's March (The Elephant Song),The Jungle Book,J. Pat O'Malley,0.4817632045
291466,1436056875,The Bare Necessities - Soundtrack,The Jungle Book,Phil Harris,0.5291805626
279453,1436057153,I Wan'na Be Like You (The Monkey Song),The Jungle Book,Louis Prima,0.5373930979
170480,1436057325,Trust In Me (The Python's Song),The Jungle Book,Sterling Holloway,0.4366951512
1021,1436137960,Colonel Hathi's March (The Elephant Song),The Jungle Book,J. Pat O'Malley,0.4817632045
152053,1436137960,Colonel Hathi's March (The Elephant Song),The Jungle Book,J. Pat O'Malley,0.4817632045
291466,1436137960,The Bare Necessities - Soundtrack,The Jungle Book,Phil Harris,0.5291805626
279453,1436137960,I Wan'na Be Like You (The Monkey Song),The Jungle Book,Louis Prima,0.5373930979
170480,1436137960,Trust In Me (The Python's Song),The Jungle Book,Sterling Holloway,0.4366951512
152053,1436139305,Colonel Hathi's March (The Elephant Song),The Jungle Book,J. Pat O'Malley,0.4817632045
291466,1436139596,The Bare Necessities - Soundtrack,The Jungle Book,Phil Harris,0.5291805626
279453,1436139878,I Wan'na Be Like You (The Monkey Song),The Jungle Book,Louis Prima,0.5373930979
27207,1436144038,Trust In Me (The Python's Song),The Jungle Book,Sterling Holloway,0.4366951512
1671,1436144039,I Wan'na Be Like You (The Monkey Song),The Jungle Book,Louis Prima,0.5373930979
1486,1436144040,The Bare Necessities - Soundtrack,The Jungle Book,Phil Harris,0.5291805626
152053,1436144193,Colonel Hathi's March (The Elephant Song),The Jungle Book,J. Pat O'Malley,0.4817632045
291466,1436144484,The Bare Necessities - Soundtrack,The Jungle Book,Phil Harris,0.5291805626
279453,1436144764,I Wan'na Be Like You (The Monkey Song),The Jungle Book,Louis Prima,0.5373930979
147864,1436187384,Trust In Me (The Python's Song),The Jungle Book,Sterling Holloway,0.4366951512
2170,1436187460,Casey Jones (Remastered Album Version),The Very Best Of Grateful Dead,Grateful Dead,0.6179957055
265640,1436187724,Casey Jones (Remastered Album Version),The Very Best Of Grateful Dead,Grateful Dead,0.6179957055
58725,1436191236,Uncle John's Band (Remastered Album Version),The Very Best Of Grateful Dead,Grateful Dead,0.5688264108
100040,1436191353,Wheels on the Bus,Rise and Shine,Raffi,0.5193967055
123040,1436191477,This Little Light of Mine,Rise and Shine,Raffi,0.4127830583
194360,1436191671,Bananaphone,Bananaphone,Raffi,0.4975328792
160826,1436191834,Baby Beluga,Baby Beluga,Raffi,0.5429957434
72173,1436191906,Brush Your Teeth,Singable Songs for the Very Young,Raffi,0.5082786973
128213,1436192034,Down By the Bay,Singable Songs for the Very Young,Raffi,0.5256794605
96333,1436192131,You'll Sing a Song and I'll Sing a Song,The Corner Grocery Store and Other Singable Songs,Raffi,0.3438710873
112133,1436192242,The Corner Grocery Store,The Corner Grocery Store and Other Singable Songs,Raffi,0.3298524712
81880,1436192326,Boom Boom,The Corner Grocery Store and Other Singable Songs,Raffi,0.3574244181
185,1436192359,Wheels on the Bus,Rise and Shine,Raffi,0.5193967055
305360,1436192665,Truckin' (Remastered Album Version),The Very Best Of Grateful Dead,Grateful Dead,0.605389416
347826,1436193013,Touch Of Grey,The Very Best Of Grateful Dead,Grateful Dead,0.6092799622
197306,1436193212,Sugar Magnolia (Remastered Album Version),The Very Best Of Grateful Dead,Grateful Dead,0.5800483714
68173,1436223197,Truckin' (Remastered Album Version),The Very Best Of Grateful Dead,Grateful Dead,0.605389416
305360,1436223503,Truckin' (Remastered Album Version),The Very Best Of Grateful Dead,Grateful Dead,0.605389416
284165,1436223786,Touch Of Grey,The Very Best Of Grateful Dead,Grateful Dead,0.6092799622
152053,1436223939,Colonel Hathi's March (The Elephant Song),The Jungle Book,J. Pat O'Malley,0.4817632045
291466,1436224231,The Bare Necessities - Soundtrack,The Jungle Book,Phil Harris,0.5291805626
279453,1436224510,I Wan'na Be Like You (The Monkey Song),The Jungle Book,Louis Prima,0.5373930979
170480,1436224681,Trust In Me (The Python's Song),The Jungle Book,Sterling Holloway,0.4366951512
1021,1436278235,Colonel Hathi's March (The Elephant Song),The Jungle Book,J. Pat O'Malley,0.4817632045
206386,1436278442,Coming Home,Coming Home,Leon Bridges,0.7074957935
140133,1436278582,Better Man,Coming Home,Leon Bridges,0.675252924
206586,1436278788,Brown Skin Girl,Coming Home,Leon Bridges,0.6497285751
183333,1436278976,Smooth Sailin',Coming Home,Leon Bridges,0.7106581865
56046,1436279033,Shine,Coming Home,Leon Bridges,0.631423595
12848,1436279046,Tusk,Tusk,Fleetwood Mac,0.5951165202
146241,1436279194,Over & Over,Tusk,Fleetwood Mac,0.5097122085
83165,1436279278,The Ledge,Tusk,Fleetwood Mac,0.5032939924
313026,1436279591,Band on the Run - 2010 Digital Remaster,Band On The Run,Paul McCartney,0.6169160437
248360,1436279839,Jet - 2010 Digital Remaster,Band On The Run,Paul McCartney,0.548777852
203160,1436280042,Bluebird - 2010 Digital Remaster,Band On The Run,Paul McCartney,0.4825260401
279546,1436280322,Mrs Vandebilt - 2010 Digital Remaster,Band On The Run,Paul McCartney,0.4799377944
289813,1436280612,Let Me Roll It - 2010 Digital Remaster,Band On The Run,Paul McCartney,0.5083919932
290893,1436280902,Mamunia - 2010 Digital Remaster,Band On The Run,Paul McCartney,0.4586450781
155480,1436281058,No Words - 2010 Digital Remaster,Band On The Run,Paul McCartney,0.4452133128
1020,1436311191,Picasso’s Last Words (Drink to Me) - 2010 Digital Remaster,Band On The Run,Paul McCartney,0.4480871917
152053,1436311342,Colonel Hathi's March (The Elephant Song),The Jungle Book,J. Pat O'Malley,0.4817632045
291466,1436311634,The Bare Necessities - Soundtrack,The Jungle Book,Phil Harris,0.5291805626
239676,1436313884,I Wan'na Be Like You (The Monkey Song),The Jungle Book,Louis Prima,0.5373930979
157933,1436314042,One Too Many Mornings,The Times They Are A-Changin',Bob Dylan,0.5818120982
184080,1436314226,Further on up the Road,"Before the Band, They Were Ronnie Hawkins & The Hawks",Ronnie Hawkins & The Hawks,0.3124072398
218893,1436314446,One Too Many Mornings,"Live 1966 ""The Royal Albert Hall Concert"" The Bootleg Series Vol. 4",Bob Dylan,0.4135772591
